dt,gyro_z,v_meas,v_sigma,a_lat,mask_gnss,e_gnss,n_gnss
0.1000,0.005102,-1.0000,2.2275,1.9220,1,584.647,-1409.482
0.1000,0.005069,-1.0000,2.2275,1.6750,1,584.647,-1409.482
0.1000,0.006205,-1.0000,2.2275,-1.9219,1,584.647,-1409.482
0.1000,0.005922,16.6467,2.1069,-0.1653,1,584.647,-1409.482
0.1000,0.003478,-1.0000,2.1069,-0.7267,1,584.647,-1409.482
0.1000,0.004233,-1.0000,2.1069,1.1051,1,584.647,-1409.482
0.1000,0.004151,-1.0000,2.1069,-0.5065,1,584.647,-1409.482
0.1000,0.006659,-1.0000,2.1069,0.3206,1,584.647,-1409.482
0.1000,0.004799,-1.0000,2.1069,1.3535,1,584.647,-1409.482
0.1000,0.005572,-1.0000,2.1069,-0.4119,1,584.647,-1409.482
0.1000,0.005699,-1.0000,2.1069,-2.1471,1,584.647,-1409.482
0.1000,0.004967,-1.0000,2.1069,2.0793,1,584.647,-1409.482
0.1000,0.005669,-1.0000,2.1069,-3.0450,1,584.647,-1409.482
0.1000,0.005419,17.0398,2.2997,-0.5316,1,584.647,-1409.482
0.1000,0.005023,-1.0000,2.2997,-0.7279,1,584.647,-1409.482
0.1000,0.004874,-1.0000,2.2997,0.5694,1,584.647,-1409.482
0.1000,0.006204,-1.0000,2.2997,2.5610,1,584.647,-1409.482
0.1000,0.004440,-1.0000,2.2997,-0.3213,1,584.647,-1409.482
0.1000,0.004209,-1.0000,2.2997,2.3114,1,584.647,-1409.482
0.1000,0.004904,-1.0000,2.2997,0.0896,1,584.647,-1409.482
0.1000,0.004067,-1.0000,2.2997,2.5241,1,584.647,-1409.482
0.1000,0.004903,-1.0000,2.2997,1.7402,1,584.647,-1409.482
0.1000,0.005668,-1.0000,2.2997,0.1033,1,584.647,-1409.482
0.1000,0.005433,17.2760,2.4007,0.6224,1,584.647,-1409.482
0.1000,0.006139,-1.0000,2.4007,-0.7325,1,584.647,-1409.482
0.1000,0.005122,-1.0000,2.4007,-2.4077,1,584.647,-1409.482
0.1000,0.005512,-1.0000,2.4007,2.4096,1,584.647,-1409.482
